Purpureicephalus spurius
Pycnonotus jocosus
Pycnoptilus floccosus
Pygoscelis adeliae
Pygoscelis antarcticus
Pygoscelis papua
Rallina fasciata
Rallina tricolor
Ramsayornis fasciatus
Ramsayornis modestus
Recurvirostra novaehollandiae
Rhipidura albiscapa
Rhipidura leucophrys
Rhipidura rufifrons
Rhipidura rufiventris
Rostratula benghalensis
Scythrops novaehollandiae
Sericornis citreogularis
Sericornis frontalis
Sericornis keri
Sericornis magnirostris
Sericulus chrysocephalus
Smicrornis brevirostris
Sphecotheres vieilloti
Spheniscus magellanicus
Stagonopleura bella
Stagonopleura guttata
Steganopus tricolor
Stercorarius antarcticus
Stercorarius longicaudus
Stercorarius maccormicki
Stercorarius parasiticus
Stercorarius pomarinus
Sterna albifrons
Sterna anaethetus
Sterna bengalensis
Sterna bergii
Sterna caspia
Sterna dougallii
Sterna fuscata
Sterna hirundo
Sterna nereis
Sterna nilotica
Sterna paradisaea
Sterna striata
Sterna sumatrana
Sterna vittata
Stictonetta naevosa
Stiltia isabella
Strepera fuliginosa
Strepera graculina
Strepera versicolor arguta
Strepera versicolor melanoptera
Strepera versicolor plumbea
Strepera versicolor versicolor
Streptopelia chinensis
Streptopelia senegalensis
Struthidea cinerea
Struthio camelus
Sturnus sturninus
Sturnus vulgaris
Sula dactylatra
Sula leucogaster
Sula sula
Syma torotoro
Tachybaptus novaehollandiae
Tadorna radjah
Tadorna tadornoides
Taeniopygia bichenovii
Taeniopygia guttata
Thalassarche bulleri
Thalassarche cauta
Thalassarche chlororhynchos
Thalassarche chrysostoma
Thalassarche melanophris
Thalassoica antarctica
Thinornis rubricollis
Threskiornis molucca
Threskiornis spinicollis
Todiramphus chloris
Todiramphus macleayii
Todiramphus pyrrhopygia
Todiramphus sanctus
Tregellasia capito
Trichoglossus chlorolepidotus
Trichoglossus haematodus
Trichoglossus rubritorquis
Tringa erythropus
Tringa flavipes
Tringa glareola
Tringa nebularia
Tringa stagnatilis
Tringa totanus
Turdus merula
Turdus philomelos
Turdus poliocephalus
Turnix melanogaster
Turnix varia
Tyto alba
Tyto capensis
Tyto multipunctata
Tyto novaehollandiae
Vanellus miles
Vanellus tricolor
Xanthomyza phrygia
Xanthotis macleayana
Xema sabini
Xenus cinereus
Zoothera lunulata
Zosterops lateralis
Home
